word,score
вылет,50
неудобный,20
приложение,10
кнопка,30
бесполезный,40
вылетать,50
разрыть,40
хватать,20
обновление,20
работает,40
получилось,40
надоело,30
невозможный,20
обнаружить,30
нельзя,20
ошибка,50
ошибку,50
самопроизвольно,20
мочь,30
перезапускать,30
работать,40
медленный,20
проблема,40
клавиатурой,40
клавиатура,40
загрузить,20
антивирус,20
запускаться,30
перестать,30
ошибки,30
требовать,30
пытаться,20
слишком,20
отсутствовать,40
открываться,40
долгий,20
зависать,30
осилить,10
ерунда,30
минусовый,10
проблемма,20
бестолковый,10
оттягивание,20
менять,30
безполезный,20
малый,10
выйти,40
нету,20
разочаровываться,20
слабый,40
другой,20
тупик,30 
тупит,40
отвратительный,50
хер,20
нахер,20
исправить,20
маленький,20
ненужный,30
минус,20
отбивать,20
косяк,30
касяк,20
устраивать,20
возможность,20
перезагрузка,10
альтернатива,10
устанавливаться,20
сбой,30





